"LFQ.adj.iBAQ.BC_06.16"	"LFQ.adj.iBAQ.BC_14.16"	"LFQ.adj.iBAQ.BC_19.15"	"LFQ.adj.iBAQ.BC_21.16"	"LFQ.adj.iBAQ.BC_31.12"	"LFQ.adj.iBAQ.BC_38.14"	"LFQ.adj.iBAQ.BC_45.14"	"LFQ.adj.iBAQ.BC_46.15"	"LFQ.adj.iBAQ.BC_55.15"	"LFQ.adj.iBAQ.LC_06.16"	"LFQ.adj.iBAQ.LC_14.16"	"LFQ.adj.iBAQ.LC_19.15"	"LFQ.adj.iBAQ.LC_21.16"	"LFQ.adj.iBAQ.LC_31.12"	"LFQ.adj.iBAQ.LC_38.14"	"LFQ.adj.iBAQ.LC_45.14"	"LFQ.adj.iBAQ.LC_46.15"	"LFQ.adj.iBAQ.LC_49.15"	"LFQ.adj.iBAQ.LC_55.15"	"LFQ.adj.iBAQ.LP_06.16"	"LFQ.adj.iBAQ.LP_14.16"	"LFQ.adj.iBAQ.LP_19.15"	"LFQ.adj.iBAQ.LP_21.16"	"LFQ.adj.iBAQ.LP_31.12"	"LFQ.adj.iBAQ.LP_38.14"	"LFQ.adj.iBAQ.LP_45.14"	"LFQ.adj.iBAQ.LP_46.15"	"LFQ.adj.iBAQ.LP_49.15"	"LFQ.adj.iBAQ.LP_55.15"
".0"	21.6260242724773	21.4773388868299	22.4742337436769	22.0055830334255	22.9365280220041	22.5251232888849	22.7476852921317	22.5587020757905	21.6437916439319	20.6674952783305	21.4907741901548	19.8324108575471	20.6860120394668	20.8204798923517	19.9084795797139	20.7837386622066	19.9787726877386	21.5193020473743	19.283770655485	19.933011061756	20.4820573887237	18.9241796769524	18.4927386729047	19.9381118231492	19.3193092241815	20.0177071715578	19.8892186090318	19.5634063073773	18.584326083422
".1"	26.5669605604181	25.5784411915378	26.7467263783177	27.2341296344006	27.3085123874649	27.0540053698375	27.2528037619055	27.2124560842797	26.3204292475308	25.6525657033067	25.8886923771881	25.4628761690011	25.1419073410439	25.6542792944729	24.5928212081776	25.2420281194018	25.2524849634904	25.2640971196557	24.4950218010168	24.5182581609888	25.9430750764761	24.4482227777509	24.5138976385021	25.1345296519643	24.5848145237886	25.1798951576058	24.6918439985439	24.7486861096092	24.1359409934289
".10"	0.959598751941762	3.11617064644032	1.1663693558866	0.804096489066179	0.735497929200369	1.00004591595204	0.769396685947779	0.975264351294255	1.0529917946322	16.6455260233883	3.22443576880734	1.11722999994739	0.86276891461565	16.9800798984971	0.883742034444108	0.695997829080694	16.1851162910296	1.14858099445815	0.738775448073227	20.6953351999275	17.2607444093559	22.3995247060272	20.9860597207403	15.8208222426695	20.0108699863863	20.7446325281653	20.1512499876861	21.0674205626947	15.9961818475864
".11"	24.623651859982	14.2749750958826	23.5469694387455	23.6846947591414	24.3841684009855	24.4247781584043	23.662105258206	24.6141958723062	24.1815559919196	23.1817305652813	23.9794450762984	22.3989109912982	21.8804814649279	22.4213240400744	22.8001091596455	20.4721478223979	23.0484984825271	22.9331270512881	22.3861121506785	18.1710002909115	24.3829978046185	20.2303934927146	20.241645129618	24.1511628204275	17.9577471617363	20.8694406625149	20.7225749709343	21.2071701885673	20.4668168764582
".12"	1.16162185738538	2.25215074231969	1.12625147199377	1.24243340281356	1.0841710727156	0.908547182883278	0.833703563191932	1.21663235926388	0.966766279111686	19.577522881075	2.11186527913069	22.0762221044546	1.10543497960057	20.805643117372	19.8434579896695	1.12998021025578	0.838293495197844	1.2548171465165	22.2702197651601	1.25266772891513	17.2523102137213	0.89999027814592	0.834315829793193	14.79529157061	18.8584883427808	21.6681404741013	1.22017978188299	20.8631573583002	17.8674937163974
".13"	27.0486833813724	26.9529981102386	27.1216926606182	27.3429956488949	26.9575142104129	27.5768084539102	26.8791290631644	26.9962572782623	27.4797482977271	27.8510527310296	27.7516482993892	27.7511731667433	27.6321667697658	27.8491824508417	27.6098467172924	27.3789092031539	27.6699118722209	27.4831673665851	27.7718204699031	27.1319587052115	27.7443230136762	27.2321891411497	26.9560295373484	27.3824313745197	27.2903941784706	27.5556136617145	27.0076927275555	27.584517696045	27.3550864133438
".2"	0.311572419212691	10.4910717252568	0.354172468527731	0.420923532176939	18.4462755349103	0.203431905740088	0.135662135361599	0.448316436135451	0.303305381189956	20.3807814975218	10.4207881451349	0.481852351551257	20.6572081574868	25.6652275868347	25.7093732608901	0.0297771773038811	20.3925847737356	19.1153218485951	0.211855819080718	19.8213086349052	10.5733642377668	21.1222468597025	21.9788063874533	10.6762404889931	0.490650391208385	0.0824927792228287	21.0322125414064	19.4980760951182	20.7764962831021
".3"	25.4037035565358	15.1061295143628	22.1245028700509	22.2222889922465	-4.01720507544675	23.6793850297454	24.046214607301	23.0629764905467	22.3316349307597	24.7065914473591	28.5308200262692	23.6090026594241	23.3604965038378	22.1228305776373	23.8438414018082	23.4901385973982	23.3436638300536	23.6207979553611	22.5413294492457	24.3788023300222	27.365615541334	24.5934965297885	24.5186147307505	15.0968048535777	23.5156695592759	24.079045897671	25.0059509091309	24.3357903936638	25.5508649348638
".4"	29.5139971436235	27.8530937387679	30.4927657426944	30.4806361419833	29.39839411415	29.2498733109679	29.8299361789235	30.3559195258988	28.9363807265872	26.1013757647557	26.7555595272394	26.7628310935412	25.5694578131921	25.514083165121	25.7066067516131	25.355754622336	26.0046178517198	25.9263369843446	25.5057890629191	26.0474381442322	27.3974359475036	26.8442959682957	25.7609519236759	26.8398224480208	26.3085175573256	26.2616209882972	26.0619169869264	26.56366863045	25.9523943364139
".5"	30.8401685520251	29.181518289069	31.0662802507589	31.2502810900197	30.5978198715492	30.734566605046	30.2927358273449	31.1397137141091	30.1645856491456	28.1988347748872	28.6615416651952	28.0983817454893	27.8557969658901	28.389523117675	28.4728385215744	27.7622431876748	28.1436614822007	28.3351821404171	27.8690806866099	27.1599804879983	28.396891754413	27.7122752526258	27.3297726697821	28.7173925219193	27.5944926021445	27.5016262778462	27.0746527310444	27.6473659820287	27.3250514084074
".6"	1.82910379259861	20.6924783181355	21.6970544000282	20.9557853891848	1.53579996754487	21.2240216476526	22.3105795191933	19.7821345676027	20.7558630868924	22.9264303989095	22.1138465411904	24.0609036747264	23.1914692713712	23.9172037422071	23.2505887301689	23.0452598474176	23.1938874564222	23.4667027820288	23.1401037575428	22.5505311291196	22.0684294719076	23.2202519971573	22.8585223191019	21.1481030254167	22.6636142938651	23.1028799505904	22.5502885950198	23.7178941775977	22.3863902826617
".7"	26.5092614448009	25.8020807278411	26.9149632057862	27.0837724967266	27.8903769224159	26.3422530324552	27.6980825529576	27.8106473830803	24.7216864095081	19.3942158004261	23.362650848256	21.2961765269686	15.8100063744302	21.2258312477076	22.1433642399368	-0.159717651767341	21.6981861799751	21.1983397761943	14.620535435999	-0.417287180999544	9.88727800169281	20.1106772634538	19.9912499625486	22.0763828033364	20.3828664784792	19.7876186793383	19.5389838847314	18.587473277425	19.4367530295646
".8"	21.983669999928	7.61571259910733	22.355459775357	22.9133847028887	22.2245644423203	21.3584068506306	21.4122043379765	23.7158315731159	20.196374234558	14.4262012161352	7.64782114869265	0.233125572144003	0.17614563814181	0.397498189901672	14.3250145871186	17.7339153631861	14.9388049255333	0.64693573452398	0.29044989807034	0.514748276049325	19.9247398143631	14.0276565823561	0.235128855777257	7.753246522538	0.239474628603217	0.609725266924253	0.30745005375663	15.6470920975601	0.558579904803935
".9"	27.5266263737926	27.5937977690335	27.7904464750237	27.879180783477	27.3226586132714	27.7635902476221	27.5111173672328	27.8133251578177	28.2418720381249	28.5048917784125	28.1963685387882	28.0617093297065	28.0490407917608	28.1054522261484	28.0379795602858	27.6229777840278	28.3623427897561	28.1033897881497	27.9729353971147	28.1781585122659	28.236644601061	28.0109554843125	28.2367395617441	28.0613154971746	28.1616920690368	28.0874847310624	28.336980181372	28.2371275220339	28.0505753285064
"A2M"	26.0621308542529	23.4601721383373	24.9903119953877	24.6688266968045	25.0595288849529	24.3346864107633	23.844807796204	24.3118323449389	24.550025233431	21.1932424805936	22.2219042021597	20.7761674438393	19.2745122743914	20.1176725765184	21.3967879193518	19.7227967836967	20.2368511093878	20.3648945046692	19.2198760177242	20.2324608881989	21.155959000888	20.5122299295829	21.2391231765771	20.0120379493471	21.0516688153648	20.3376487499154	19.5453725309826	19.9972508575526	20.316814214993
"AAAS"	25.3484815363108	15.8019542497916	25.3010424972301	25.5630320555825	25.5965342589088	24.7180715079884	23.9229296240667	26.2837976585725	24.7583190742375	22.7301430013751	25.6267916527588	23.6915355053607	23.0205325047702	23.1369395764816	23.3880896178224	23.1150718183755	23.0632837361707	23.2431271342368	23.3740989845521	23.8405063200178	25.6505303203803	24.0024076306333	23.8517918470667	26.2669493796793	24.0142808689116	23.6110580168499	23.4603768839493	22.7306390304518	24.0171717030672
"AACS"	0.57996295560163	4.93311948152147	0.80609085947513	0.657104358305959	0.756363918690193	17.8081723592414	0.690400027284676	1.02758815517594	1.02369517847493	21.8283461663065	19.9041175551005	22.6732165732379	21.2027914996029	21.9959742877216	21.630216614243	20.6433209450093	21.6464587792771	20.873625263006	21.8083642221104	21.0895193750871	20.1429133504053	22.2452585442287	22.5939295441739	20.9346741812769	21.9903767482007	20.7826274751912	21.8969085169922	21.586714291774	21.884926530568
"AAGAB"	18.0739236462864	16.3059573277279	18.2009305413901	20.0481179738198	19.5026827106252	18.80745460921	19.0247704236224	17.3880595410045	20.8720892762122	23.3956620117817	16.1280474639317	21.9915749938141	20.9100276905885	21.7565613756972	22.1835403453847	21.281283511746	22.0783059619386	22.1407756630223	22.0974412232799	20.1663686076421	25.2528737095699	21.8250107734815	20.7335146115248	16.2151433769213	18.7628895945461	21.1020179633859	20.5071746127878	21.1609296153233	21.1754484616099
"AAK1"	19.987106130163	13.9550503616101	23.0561315544944	23.1922515195386	20.4499514344422	24.0436637825506	23.5399856190208	23.4677959613894	23.1747661405053	21.6500673070823	23.4165507187299	21.3712658674941	22.2176980259149	21.9514451897013	22.2489012205073	20.7672139370774	21.8622601200279	22.1435455443053	22.0909125598174	17.004242800677	23.3942129138196	20.2807706226707	20.7031740238012	22.3176648283291	17.7744696817985	20.3726114991987	18.756911390386	20.7304626165923	20.7326987162254
"AAMDC"	22.9843466025914	23.3231052723071	23.090706346901	23.7839060956351	23.3469216162909	22.1000853303097	23.42469975409	23.2392674569639	22.4824161239851	23.5131177235263	23.3679620906346	23.3511039090739	24.9701230359666	24.1858021911665	22.7190884743997	23.8214541363419	23.5902519597157	23.8358454146177	22.6134757854707	23.1918055697563	23.4163591756086	23.005208468299	23.7641165468736	23.2238520351938	22.3598878403919	23.3402302142545	23.5960723448833	22.9487447251599	22.4178772656274
"AAMP"	1.72315371923868	19.9042814930808	21.5596025983347	21.0029696349066	1.93425229149146	21.51304565641	20.5058135162398	22.6505366895994	21.566426341371	18.3165287937686	20.4470280335404	21.683020734465	20.8076962825314	1.94003999160211	21.5515205216679	21.4804926441785	21.0669746186604	18.9324463561364	25.317688311525	18.7119615614444	20.4970205692621	19.7526202831442	21.2615818012822	17.1839201826391	20.026441090478	20.8358188661214	21.2675017454849	18.519453003941	20.9795785774286
"AAR2"	22.238400331399	14.0293329722197	22.8209229990611	23.0530093999477	20.8864997763596	23.2789087902505	22.2034824003686	22.7059453198671	23.2428380280953	19.6907654417723	23.4295633951377	22.328393803245	19.9369634147452	19.2662372948844	20.8892585168307	17.3616662788221	21.9168217539775	19.880805170963	22.7556450532701	22.7062575685172	23.7318668044051	22.1887568247278	22.7988526294279	23.409880740902	22.8289109211315	22.8243829255723	21.9013543230602	19.2726894039194	23.0556849866399
"AARS"	26.5842508892233	26.5703094447147	26.1472148918065	26.6706458935056	26.2776130420687	26.4217163188613	26.3861877571419	26.430785670021	26.5419377822309	27.1853041766661	27.1801653688518	27.0523910236056	27.2112586693352	27.0816271500733	27.0820376465669	27.1101863317329	27.2538163649555	27.1837741699347	27.1674176720401	26.9303267755546	26.8863701311919	26.9323754383723	26.817273767574	26.9859247365726	26.8762588312207	27.2599123552966	26.9265633820794	26.9045878462034	27.1167134184751
"AARS2"	22.5735482909166	23.333393167278	24.3332478869905	23.9197818921381	22.9005018062374	24.5187617473717	23.4357949572374	23.7878348422283	24.417681951428	23.7095586055981	24.5966908914569	23.7762891868919	24.6398115491964	23.9358366230712	24.2868545932897	24.2571203853018	23.7283586106569	23.7005416031537	24.2036778448525	25.2836913244746	24.6646201593471	25.4515221432897	25.6762833710897	24.9402128034656	25.6520965744271	24.9381323016543	25.2343533461355	24.4864688343982	25.3072065440294
"AARSD1"	22.9832077932972	22.5938725510267	23.0022793494011	23.06867829836	21.2770899256502	22.6674095736629	19.7605175584416	22.8065123250908	23.1691890506405	24.3859677463837	23.407650357953	23.3685327442218	22.9756566191007	24.0636987169574	23.7143395547939	23.0296336596668	24.021190719875	24.150199079713	23.9184359586541	24.5624484150209	23.9666337689352	23.6580916924712	23.5969831260049	23.6074700085913	23.267749437883	23.433704759309	24.1573980436083	23.5096892504314	23.7038627241259
"AASDHPPT"	23.0598823894259	23.0238082647662	24.3671530677585	25.1385476500499	22.8024875448326	24.4166210638531	24.709876792494	24.1932366159545	24.9470393664467	24.9162828302969	24.5309479559481	24.3433807511374	23.950477806272	23.6052946174746	24.422006068958	24.7023275855165	24.4433656375386	24.1665912142069	23.9430192049683	24.5853119576127	24.6349062961031	24.1101855776445	24.3159405918288	24.4860448305108	24.0334227623584	23.8793238146416	24.37084598669	24.3901812275412	24.2744071476345
"AASS"	23.1041289742435	21.370855959863	23.2706889020216	21.909473308896	20.8729791730301	22.667541800053	22.1489534274653	21.9107551372869	22.6161875230276	22.0263094701093	21.2837470564744	22.835843021625	22.8099847243284	21.5794052304217	21.8288684872483	21.594445866458	21.5755834954372	19.3650577105278	22.661879415303	22.2978897081588	22.5864061934316	22.7344642440743	21.5121401080202	22.5265697908788	22.4940446600463	22.6048827590416	21.3187545868249	20.9290541612103	22.5975937102624
"AATF"	21.3284719458579	15.8050857619637	22.2030041994836	21.7383874287744	19.5773887018242	21.9550282514118	20.4599161749433	21.7483661561756	21.8580975731446	21.325918893464	24.6303088901281	19.7883211083688	21.6364480373639	19.7646038304603	21.1489894229715	22.3263837153376	21.4866906704354	20.7004101512089	21.7776113104573	23.3067898902761	24.9315317777713	23.3214047672971	23.4286639500828	15.924742276529	23.1399948845871	22.6108051237403	23.1677229830701	21.3793594270862	23.1044204961816
"ABAT"	22.8505949261811	22.901215947933	24.3715125404495	23.5449108964824	23.2595795411991	24.7207138652042	23.9037535213619	22.975501682216	24.1931187550835	26.3532855132943	25.7212197342224	27.0149148758852	26.0150288345128	27.2287537377763	26.6774132681894	26.7962449643883	25.8962200353778	26.2814607866168	27.5270068166821	22.1769277409169	25.5798536020204	24.2572842984465	22.4964269963841	24.7718021382546	23.3645120570896	23.422977677037	21.1677458730503	23.439292191423	25.7393222966805
"ABCB1"	19.8842982861765	6.83253405282285	19.045731545412	18.2791263783872	19.084222932621	18.8265419483697	18.0883245632726	18.1238221881262	19.5080712204537	0.74402028596136	6.95031356101099	0.535208079650275	0.539258138160585	0.690738021232552	0.581475719679491	17.7107777636267	0.691395537960527	0.742277321840155	0.656023843622632	0.402005030544208	7.02682530733906	0.353725196805522	0.803953418605215	6.98369884257316	0.453284290148422	0.467729599539878	0.460571127778326	0.448315274015191	0.532658092080561
"ABCB10"	18.6182358747529	20.5604220874352	20.6949588954752	21.4269063679168	19.1467054977346	20.4281135285998	1.72345051236484	19.5446043578574	20.2274332014	19.918551536154	20.9752960254937	19.8355786410457	20.6068599967209	20.201891153856	20.5879634694702	19.5316549814923	20.3808334267566	19.3499664247836	20.4645380205731	22.199548887171	20.4474021833813	22.9809123076515	22.9375165374459	19.8675313214615	23.8188246715141	22.1731694944252	21.282077382782	20.9360063045032	23.3172813996016
"ABCB6"	18.257491303342	11.9666119106796	19.174867766166	15.9119848770577	18.0061711280653	19.2889334744561	18.4258955486806	18.7858237361631	18.5702842547246	0.465768815670481	11.8789634343441	17.3402602881634	0.120676445118281	0.0966268565133568	18.2462544576957	18.3914326159485	17.9294949157105	15.2158922811683	0.0597324305511595	15.3901845626793	11.8286244087419	15.1018350040627	19.400567271696	11.6894977991351	0.0046753413312981	18.5314818263176	0.225841558210343	0.367716899157266	17.4166824285229
"ABCB7"	19.7164842694056	13.8454962115903	21.5893922295987	20.5379545234107	25.7198767578515	21.2641915810638	17.906867788566	25.566436291725	20.5586647987206	21.4741197575251	23.3190572967103	22.076668250882	21.4285856367613	22.1556433343139	21.1325060923433	18.0338321809106	20.7632789402005	20.8853739234255	21.0404322573034	24.5594543308395	23.6367181419745	23.3564520898255	22.1201747540178	23.9924423315354	22.1552748483663	21.3330197363168	22.9326104878945	21.3180140820341	22.4341715117992
"ABCC1"	0.173827788436656	6.74574718166804	17.962948318524	0.36347098671061	0.300709428389441	19.9884766362052	0.25412138551407	17.3387521148356	19.3015829295078	18.328928825377	19.7836580786221	18.3298664862045	0.263592257971675	17.4127034269792	19.8658027691573	17.3605478555362	17.389929250855	16.7528301229731	18.428560987868	0.388184482544871	6.77786655231443	18.3907696178832	17.4411891544514	19.3498568896027	0.351353679254624	16.3831961958019	16.8054995327974	18.1066060585324	16.9201396376834
