"ProteinIDs"	"ProteinNames"	"GeneNames"	"GeneNamesUnique"
".0"	"O15231-3;O15231-2"	""	""	""
".1"	"O15231-6;O15231-8"	""	""	".1"
".10"	"Q2M2H8;Q2M2H8-3;O43451"	"Probable maltase-glucoamylase-like protein LOC93432;Glucoamylase"	""	".10"
".11"	"Q6ZSR9"	"Uncharacterized protein FLJ45252"	""	".11"
".12"	"Q96FF7"	"Uncharacterized protein LOC113230"	""	".12"
".13"	"Q9UPN3-2;Q9UPN3-3"	""	""	".13"
".2"	"P01605;P01624;P04434;P04207"	"Ig kappa chain V-I region Lay;Ig kappa chain V-III region POM;Ig kappa chain V-III region VH;Ig kappa chain V-III region CLL"	""	".2"
".3"	"P01622;P04206;P01623;P01620;P18136;P18135"	"Ig kappa chain V-III region Ti;Ig kappa chain V-III region GOL;Ig kappa chain V-III region WOL;Ig kappa chain V-III region SIE"	""	".3"
".4"	"P07951-2"	""	""	".4"
".5"	"P09493-3"	""	""	".5"
".6"	"P09493-5"	""	""	".6"
".7"	"P09493-8"	""	""	".7"
".8"	"P09493-9"	""	""	".8"
".9"	"Q15366-3;P57721-5;P57721-4;P57721"	""	""	".9"
"A2M"	"P01023;P20742-2"	"Alpha-2-macroglobulin"	"A2M"	"A2M"
"AAAS"	"Q9NRG9;Q9NRG9-2"	"Aladin"	"AAAS"	"AAAS"
"AACS"	"Q86V21;Q86V21-3;Q86V21-2"	"Acetoacetyl-CoA synthetase"	"AACS"	"AACS"
"AAGAB"	"Q6PD74;Q6PD74-2"	"Alpha- and gamma-adaptin-binding protein p34"	"AAGAB"	"AAGAB"
"AAK1"	"Q2M2I8-2;Q2M2I8"	"AP2-associated protein kinase 1"	"AAK1"	"AAK1"
"AAMDC"	"Q9H7C9;Q9H7C9-3;Q9H7C9-2"	"Mth938 domain-containing protein"	"AAMDC"	"AAMDC"
"AAMP"	"Q13685"	"Angio-associated migratory cell protein"	"AAMP"	"AAMP"
"AAR2"	"Q9Y312"	"Protein AAR2 homolog"	"AAR2"	"AAR2"
"AARS"	"P49588;P49588-2"	"Alanine--tRNA ligase, cytoplasmic"	"AARS"	"AARS"
"AARS2"	"Q5JTZ9"	"Alanine--tRNA ligase, mitochondrial"	"AARS2"	"AARS2"
"AARSD1"	"Q9BTE6;Q9BTE6-2;Q9BTE6-3"	"Alanyl-tRNA editing protein Aarsd1"	"AARSD1"	"AARSD1"
"AASDHPPT"	"Q9NRN7;Q9NRN7-2"	"L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase"	"AASDHPPT"	"AASDHPPT"
"AASS"	"Q9UDR5"	"Alpha-aminoadipic semialdehyde synthase, mitochondrial;Lysine ketoglutarate reductase;Saccharopine dehydrogenase"	"AASS"	"AASS"
